unit_id,ecephys_structure_acronym,stimulus,block,R_tot,tau_R,tau_single,tau_double,firing_rate,median_ISI,CV_ISI,structure_name,layer
950912119,VISam,spontaneous,averaged,0.046272900739588264,0.1332890520326543,0.692172528729091,0.11437796208572457,0.8859788792071933,0.35888672,1.6541196,AM,6
950912162,VISam,spontaneous,averaged,0.06824271401472874,0.004431087623517475,0.4796229624275022,0.4796238855350231,20.785279350305856,0.026367188,1.3305322,AM,6
950912200,VISam,spontaneous,averaged,0.08738542701239596,0.11266702496216162,0.9446387590962595,0.944628660571185,3.1266227066284227,0.11328125,2.3390129,AM,6
950912241,VISam,spontaneous,averaged,0.04331340664771562,0.1568516221747485,1.2261814607941932,0.7814606001325733,2.7746739718021103,0.16015625,1.8685873,AM,6
950912250,VISam,spontaneous,averaged,0.061303068607481324,0.07688448989247472,0.3217551535739421,0.32175750661662833,2.3811015181755293,0.13427734,2.0673869,AM,5
950912388,VISam,spontaneous,averaged,0.13599052752137455,0.017026353622335597,0.14961202767310267,0.1496131036206719,3.1867025098188653,0.052734375,2.3152397,AM,5
950912425,VISam,spontaneous,averaged,0.0828612215354478,0.10521595667120191,0.37259269086132535,0.3725780725221233,4.297502851874487,0.106933594,4.2968216,AM,5
950912441,VISam,spontaneous,averaged,0.1500526986043391,0.06588683526665057,0.768063174303412,0.7680596074835563,1.434929458094864,0.10229492,2.9726548,AM,5
950912481,VISam,spontaneous,averaged,0.06502013134454294,0.14092540906273893,0.6658362230529237,0.6658340502151067,2.7336025076252333,0.14013672,3.6124597,AM,5
950912503,VISam,spontaneous,averaged,0.03989921964622267,0.14561584273444975,0.9204986884975035,0.8640643372486645,8.594770970887657,0.087890625,0.9817017,AM,5
950912530,VISam,spontaneous,averaged,0.051295572586720024,0.1250868733500543,0.3577537042790312,0.35776560143618513,1.3577740244956047,0.22998047,1.8214184,AM,5
950912561,VISam,spontaneous,averaged,0.01977891808692936,0.1088224385793651,0.9238070027844815,0.9238196744233794,5.061547251369081,0.11669922,1.4354287,AM,5
950912567,VISam,spontaneous,averaged,0.04104971463211378,0.03158789151289816,0.8051004311046887,0.8054801503905678,9.418616381003034,0.0859375,0.8431486,AM,5
950912576,VISam,spontaneous,averaged,0.05034315200767293,0.07144426239634256,0.9438037791184767,0.9051867621823768,8.078438477090726,0.084472656,1.2218814,AM,5
950912584,VISam,spontaneous,averaged,0.030575594731241912,0.02412695998038709,0.6619729111525962,0.6619522849504679,18.83177828739483,0.03515625,1.0784593,AM,5
950912593,VISam,spontaneous,averaged,0.08479417780007356,0.005377055627583206,0.29141625665803916,0.29155262137104204,14.403037516951489,0.060546875,0.60879695,AM,5
950912690,VISam,spontaneous,averaged,0.07165817455330041,0.028565226433903895,0.41858555945251,0.4185646199536336,13.05207277278947,0.06298828,0.70919776,AM,5
950912726,VISam,spontaneous,averaged,0.062120922306493485,0.05332054723229071,0.48535864226252773,0.4789148219583807,6.938275783184369,0.05810547,1.8111185,AM,5
950912759,VISam,spontaneous,averaged,0.028693036873174517,0.05940121530264399,1.1192361199225995,1.1192878962219848,6.029643990313778,0.12084961,0.9622433,AM,5
950912768,VISam,spontaneous,averaged,0.030940785129932327,0.19234179620853972,0.6301958793806162,0.6301655541401606,1.6761952432422735,0.25878906,1.5089471,AM,5
950912798,VISam,spontaneous,averaged,0.08344267101842438,0.12709493916115572,1.2092641467503584,0.9781238021494211,2.4823424181840363,0.11767578,2.384422,AM,4
950912847,VISam,spontaneous,averaged,0.051485553473787485,0.10792332894938535,0.4649297078877843,0.4649424231670449,1.9346373254713018,0.17236328,1.8445671,AM,4
950912857,VISam,spontaneous,averaged,0.05749997717708958,0.06781019031823925,0.3990050220577138,0.39462036846608967,2.829534185890682,0.11279297,1.8882085,AM,4
950912869,VISam,spontaneous,averaged,0.047794601653822655,0.14964844932684584,1.1919596600859834,1.1919589725952988,3.4099563969789743,0.14257812,1.7829901,AM,4
950912893,VISam,spontaneous,averaged,0.04960511559769418,0.053758610721759775,0.397076460430911,0.39707259302622355,4.425330522464563,0.08691406,1.7833916,AM,4
950912919,VISam,spontaneous,averaged,0.1438747115701367,0.022010445938917017,0.4668035550898218,0.4564598096980777,50.921947702213934,0.0087890625,2.6756463,AM,4
950912981,VISam,spontaneous,averaged,0.053069888371602925,0.005621906439093268,0.44257016863749815,0.04089521930862695,22.60727329416567,0.020996094,1.4756677,AM,2/3
950913021,VISam,spontaneous,averaged,0.04667766047126778,0.03206750909721415,0.1929994330582032,0.1829087673602897,0.7594426572284937,0.47802734,1.5044563,AM,2/3
950913101,VISam,spontaneous,averaged,0.03431518063289857,0.09979614859861073,0.3447677097443888,0.34476749825614267,0.8244203055001189,0.44726562,1.7905396,AM,2/3
950913125,VISam,spontaneous,averaged,0.03801194250561828,0.037117848776474345,0.1484908778761541,0.06778783327413898,0.7189398197870606,0.53881836,1.4984967,AM,2/3
